행정동,소계,year,소계_Lag1,소계_MoM_Change
용지동,31441.0,201501,,
용지동,31326.0,201502,31441.0,-115.0
용지동,31245.0,201503,31326.0,-81.0
용지동,31229.0,201504,31245.0,-16.0
용지동,31161.0,201505,31229.0,-68.0
용지동,31122.0,201506,31161.0,-39.0
용지동,31020.0,201507,31122.0,-102.0
용지동,31048.0,201508,31020.0,28.0
용지동,31045.0,201509,31048.0,-3.0
용지동,31029.0,201510,31045.0,-16.0
용지동,30955.0,201511,31029.0,-74.0
용지동,30768.0,201512,30955.0,-187.0
용지동,30682.0,201601,30768.0,-86.0
용지동,30547.0,201602,30682.0,-135.0
용지동,30401.0,201603,30547.0,-146.0
용지동,30400.0,201604,30401.0,-1.0
용지동,30294.0,201605,30400.0,-106.0
용지동,30241.0,201606,30294.0,-53.0
용지동,30187.0,201607,30241.0,-54.0
용지동,30072.0,201608,30187.0,-115.0
용지동,29983.0,201609,30072.0,-89.0
용지동,29948.0,201610,29983.0,-35.0
용지동,29883.0,201611,29948.0,-65.0
용지동,29783.0,201612,29883.0,-100.0
용지동,29681.0,201701,29783.0,-102.0
용지동,29580.0,201702,29681.0,-101.0
용지동,29423.0,201703,29580.0,-157.0
용지동,29324.0,201704,29423.0,-99.0
용지동,29132.0,201705,29324.0,-192.0
용지동,28949.0,201706,29132.0,-183.0
용지동,29523.0,201707,28949.0,574.0
용지동,30120.0,201708,29523.0,597.0
용지동,30296.0,201709,30120.0,176.0
용지동,30298.0,201710,30296.0,2.0
용지동,30520.0,201711,30298.0,222.0
용지동,31500.0,201712,30520.0,980.0
용지동,32183.0,201801,31500.0,683.0
용지동,32418.0,201802,32183.0,235.0
용지동,32488.0,201803,32418.0,70.0
용지동,32526.0,201804,32488.0,38.0
용지동,32511.0,201805,32526.0,-15.0
용지동,32712.0,201806,32511.0,201.0
용지동,32859.0,201807,32712.0,147.0
용지동,32906.0,201808,32859.0,47.0
용지동,32888.0,201809,32906.0,-18.0
용지동,32858.0,201810,32888.0,-30.0
용지동,32859.0,201811,32858.0,1.0
용지동,32851.0,201812,32859.0,-8.0
용지동,32668.0,201901,32851.0,-183.0
용지동,32559.0,201902,32668.0,-109.0
용지동,32352.0,201903,32559.0,-207.0
용지동,32251.0,201904,32352.0,-101.0
용지동,32204.0,201905,32251.0,-47.0
용지동,32106.0,201906,32204.0,-98.0
용지동,31932.0,201907,32106.0,-174.0
용지동,31506.0,201908,31932.0,-426.0
용지동,31780.0,201909,31506.0,274.0
용지동,31700.0,201910,31780.0,-80.0
용지동,31693.0,201911,31700.0,-7.0
용지동,31554.0,201912,31693.0,-139.0
용지동,31300.0,202001,31554.0,-254.0
용지동,31135.0,202002,31300.0,-165.0
용지동,31029.0,202003,31135.0,-106.0
용지동,30955.0,202004,31029.0,-74.0
용지동,30854.0,202005,30955.0,-101.0
용지동,30734.0,202006,30854.0,-120.0
용지동,30694.0,202007,30734.0,-40.0
용지동,30599.0,202008,30694.0,-95.0
용지동,30516.0,202009,30599.0,-83.0
용지동,30482.0,202010,30516.0,-34.0
용지동,30404.0,202011,30482.0,-78.0
용지동,30317.0,202012,30404.0,-87.0
용지동,30183.0,202101,30317.0,-134.0
용지동,30154.0,202102,30183.0,-29.0
용지동,30074.0,202103,30154.0,-80.0
용지동,30021.0,202104,30074.0,-53.0
용지동,30059.0,202105,30021.0,38.0
용지동,29999.0,202106,30059.0,-60.0
용지동,29920.0,202107,29999.0,-79.0
용지동,29888.0,202108,29920.0,-32.0
용지동,29907.0,202109,29888.0,19.0
용지동,29825.0,202110,29907.0,-82.0
용지동,29768.0,202111,29825.0,-57.0
용지동,29729.0,202112,29768.0,-39.0
용지동,29645.0,202201,29729.0,-84.0
용지동,29631.0,202202,29645.0,-14.0
용지동,29520.0,202203,29631.0,-111.0
용지동,29276.0,202204,29520.0,-244.0
용지동,29080.0,202205,29276.0,-196.0
용지동,28962.0,202206,29080.0,-118.0
용지동,28850.0,202207,28962.0,-112.0
용지동,28687.0,202208,28850.0,-163.0
용지동,28428.0,202209,28687.0,-259.0
용지동,28093.0,202210,28428.0,-335.0
용지동,27719.0,202211,28093.0,-374.0
용지동,27609.0,202212,27719.0,-110.0
용지동,27550.0,202301,27609.0,-59.0
용지동,27466.0,202302,27550.0,-84.0
용지동,27454.0,202303,27466.0,-12.0
용지동,27460.0,202304,27454.0,6.0
용지동,27414.0,202305,27460.0,-46.0
용지동,27403.0,202306,27414.0,-11.0
용지동,27358.0,202307,27403.0,-45.0
용지동,27305.0,202308,27358.0,-53.0
용지동,27265.0,202309,27305.0,-40.0
용지동,27243.0,202310,27265.0,-22.0
용지동,27166.0,202311,27243.0,-77.0
용지동,27237.0,202312,27166.0,71.0
용지동,27242.0,202401,27237.0,5.0
용지동,27124.0,202402,27242.0,-118.0
용지동,27146.0,202403,27124.0,22.0
용지동,27083.0,202404,27146.0,-63.0
용지동,27038.0,202405,27083.0,-45.0
용지동,26947.0,202406,27038.0,-91.0
용지동,26915.0,202407,26947.0,-32.0
용지동,26870.0,202408,26915.0,-45.0
용지동,26813.0,202409,26870.0,-57.0
용지동,26769.0,202410,26813.0,-44.0
용지동,26709.0,202411,26769.0,-60.0
용지동,26606.0,202412,26709.0,-103.0
용지동,26586.0,202501,26606.0,-20.0
용지동,26435.0,202502,26586.0,-151.0
용지동,26410.0,202503,26435.0,-25.0
용지동,26399.0,202504,26410.0,-11.0
용지동,26189.0,202505,26399.0,-210.0
용지동,26132.0,202506,26189.0,-57.0
용지동,26116.0,202507,26132.0,-16.0
용지동,26057.0,202508,26116.0,-59.0
