시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원진해구 이동,347-1,347,1,	(347-1)	,50.94,201501,13,"         8,400",2,2010.0,충장로407번길 9-15,,,,,,
경상남도 창원진해구 이동,347-1,347,1,	(347-1)	,50.94,201501,13,"         8,400",2,2010.0,충장로407번길 9-15,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201501,28,"         3,350",6,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 충무동,28-135,28,135,하이존텔,25.79,201501,15,"         3,000",6,2001.0,충장로176번길 18,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,44.25,201502,5,"         3,100",3,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201502,16,"         3,450",6,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 화천동,2-4,2,4,로얄스톤2차,63.99,201502,14,"        12,000",2,2014.0,중원로85번길 23,,,,,,
경상남도 창원진해구 충무동,28-26,28,26,하이존텔2,39.8,201503,26,"         5,800",2,2002.0,충장로176번길 17,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,28.26,201504,20,"         7,870",6,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,28.11,201505,26,"         3,600",7,2005.0,충장로273번길 16,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,26.55,201505,25,"         3,550",2,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 경화동,887,887,0,한동 더 푸름,56.1,201505,6,"        13,000",7,2012.0,병암로37번길 8-10,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201505,7,"         3,750",6,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,32.59,201505,4,"         3,500",6,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201506,16,"         8,590",7,2015.0, ,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201506,9,"         3,500",5,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201507,2,"         8,590",8,2015.0, ,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201507,2,"         8,590",9,2015.0, ,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201507,31,"         8,590",12,2015.0, ,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201507,31,"         8,590",8,2015.0, ,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,75.01,201507,29,"        11,000",7,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201508,21,"         7,100",15,2015.0, ,,,,,,
경상남도 창원진해구 충무동,28-135,28,135,하이존텔,25.79,201508,22,"         2,700",2,2001.0,충장로176번길 18,,,,,,
경상남도 창원진해구 화천동,11-1,11,1,(11-1),37.44,201508,30,"         7,270",2,2015.0,중원로 83-1,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201508,27,"         8,590",13,2015.0, ,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201508,28,"         8,590",10,2015.0, ,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201509,21,"         8,500",15,2015.0, ,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201509,22,"         7,900",6,2015.0, ,,,,,,
경상남도 창원진해구 경화동,900,900,0,	(900)	,65.87,201509,22,"        16,500",8,2013.0,진해대로694번길 24,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201509,18,"         3,700",10,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 화천동,11-1,11,1,(11-1),41.94,201510,26,"         7,664",2,2015.0,중원로 83-1,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,26.04,201510,30,"         7,230",5,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,28.26,201510,30,"         7,260",2,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 속천동,7,7,0,진해유진에코블루스카이,29.69,201510,13,"         8,590",12,2015.0, ,,,,,,
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,41.71,201510,28,"         3,800",4,2005.0,충장로273번길 16,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201511,5,"         3,050",5,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201511,16,"         3,500",7,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 이동,520-4,520,4,보람 더좋은 퍼스트,68.22,201511,19,"        15,000",2,2014.0,병암로7번길 8-25,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201511,10,"         3,650",5,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,32.59,201512,16,"         4,200",4,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201512,7,"         3,900",2,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,30.88,201512,14,"         3,200",5,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 경화동,900,900,0,	(900)	,65.87,201601,25,"        17,000",8,2013.0,진해대로694번길 24,,,,,,
경상남도 창원진해구 중평동,1-3,1,3,미소오피스텔,35.27,201601,6,"         3,450",2,2004.0,중원서로 41-1,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,55.38,201601,11,"        15,190",13,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 대죽동,41-4,41,4,미성빌리지4차,83.52,201603,25,"        20,000",4,2015.0,태평로 150,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,49.5,201603,31,"         5,100",4,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201604,11,"         3,500",4,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201604,19,"         3,200",3,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201604,13,"         2,500",6,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201604,12,"         3,800",2,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,44.25,201604,1,"         4,300",5,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,44.25,201604,25,"         4,000",7,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201604,12,"         4,200",2,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201604,13,"         3,000",4,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,36.9,201605,11,"         4,550",7,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 이동,347-1,347,1,	(347-1)	,38.1,201605,2,"         7,800",2,2010.0,충장로407번길 9-15,,,,,,
경상남도 창원진해구 이동,538-28,538,28,우진오피스텔,44.25,201605,16,"         4,700",5,2003.0,충장로364번나길 14,,,,,,
경상남도 창원진해구 화천동,10-1,10,1,태연빌리지,41.94,201606,15,"         8,220",2,2015.0,중원로85번길 15,,,,,,
경상남도 창원진해구 화천동,10-1,10,1,태연빌리지,37.44,201607,6,"         6,710",2,2015.0,중원로85번길 15,,,,,,
경상남도 창원진해구 중앙동,11-2,11,2,진해비젼오피스텔,35.52,201607,13,"         5,000",3,2009.0,중원동로 60,,,,,,
경상남도 창원진해구 경화동,1153-14,1153,14,하이존텔4차,41.71,201608,29,"         4,000",2,2005.0,충장로273번길 16,,,,,,
경상남도 창원진해구 경화동,1165-2,1165,2,	(1165-2)	,59.72,201608,12,"        11,000",4,2012.0,경화로21번길 37,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,75.01,201609,6,"         7,000",5,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,75.01,201609,6,"         7,000",4,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,26.55,201610,12,"         3,050",7,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,49.5,201610,24,"         4,600",4,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 회현동,3-1,3,1,하이존텔 3차,25.59,201610,31,"         3,470",3,2005.0,편백로8번길 3-2,,,,,,
경상남도 창원진해구 충무동,28-135,28,135,하이존텔,27.72,201610,25,"         3,000",5,2001.0,충장로176번길 18,,,,,,
경상남도 창원진해구 풍호동,807-3,807,3,토원주택,36.9,201612,26,"         4,800",3,2003.0,천자로413번길 5,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,28.26,201612,22,"         7,083",5,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 충무동,28-26,28,26,하이존텔2,42.16,201612,1,"         3,700",5,2002.0,충장로176번길 17,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,28.26,201612,22,"         7,083",9,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 마천동,50-12,50,12,한결예다움,76.2,201701,2,"        18,560",3,2014.0,웅동로 103,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201701,7,"         4,100",6,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 용원동,1135-6,1135,6,재상베네스타운,33.93,201701,12,"         4,000",10,2003.0,용원남로7번길 16,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,26.04,201701,10,"         7,230",7,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",1,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",1,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",1,2005.0,남의로 115,,,,,,
경상남도 창원진해구 광화동,26,26,0,진해미진이지비아,26.04,201702,3,"         7,829",11,2014.0,중원동로 33,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",9,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",9,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",9,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",9,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",9,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",9,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",9,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",9,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",9,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",9,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",8,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",2,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",7,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",3,2005.0,남의로 115,,,,,,
경상남도 창원진해구 용원동,1212-2,1212,2,벽송수피아빌딩,44.73,201703,9,"         7,200",8,2013.0,용재로 14,,,,,,
